province;district;gov_trans;social_inclusion;economic_status;education;health;social_life;munenvperf_trans;hdi_d
Ýstanbul;Beylikdüzü;0.796;0.423;0.549;0.762;0.573;0.313;0.638;0.614
Ankara;Keçiören;0.969;0.317;0.511;0.62;0.53;0.5;0.5;0.603
Ýstanbul;Tuzla;0.766;0.323;0.58;0.645;0.625;0.588;0.525;0.601
Ýzmir;Balçova;0.723;0.437;0.434;0.755;0.782;0.2;0.7;0.601
Ýstanbul;Çekmeköy;0.995;0.43;0.541;0.644;0.403;0.263;0.525;0.6
Ýstanbul;Baþakþehir;0.787;0.488;0.588;0.645;0.549;0.25;0.825;0.6
Samsun;Atakum;0.798;0.313;0.517;0.796;0.53;0.325;0.65;0.597
Ýzmir;Bayrakli;0.795;0.648;0.586;0.64;0.378;0.338;0.425;0.595
Ýstanbul;Pendik;0.908;0.355;0.591;0.587;0.454;0.438;0.663;0.594
Ýstanbul;Kartal;0.692;0.463;0.592;0.669;0.572;0.363;0.638;0.588
Ýstanbul;Küçükçekmece;0.761;0.368;0.589;0.583;0.659;0.35;0.813;0.587
Bursa;Osmangazi;0.714;0.453;0.578;0.54;0.581;0.575;0.575;0.58
Ýzmir;Narlidere;0.774;0.345;0.454;0.844;0.541;0.175;0.475;0.578
Ýstanbul;Bayrampaþa;0.676;0.393;0.605;0.564;0.667;0.388;0.813;0.575
Ýstanbul;Eyüp;0.653;0.458;0.626;0.603;0.482;0.513;0.513;0.567
Antalya;Konyaalti;0.565;0.322;0.568;0.85;0.562;0.263;0.713;0.567
Ankara;Altindað;0.689;0.353;0.505;0.504;0.718;0.575;0.575;0.56
Adana;Çukurova;0.589;0.377;0.521;0.806;0.578;0.175;0.7;0.557
Ýstanbul;Silivri;0.772;0.537;0.552;0.544;0.525;0.238;0.3;0.551
Ýzmir;Karabaðlar;0.627;0.547;0.359;0.612;0.79;0.163;0.625;0.549
Samsun;Ýlkadim;0.697;0.305;0.533;0.605;0.681;0.313;0.55;0.549
Ýzmir;Urla;0.857;0.443;0.248;0.695;0.563;0.213;0.25;0.547
Ýstanbul;Beykoz;0.844;0.195;0.677;0.6;0.454;0.275;0.4;0.544
Ýstanbul;Esenler;0.664;0.448;0.549;0.436;0.691;0.413;0.65;0.543
Ýstanbul;Kaðithane;0.607;0.323;0.602;0.579;0.578;0.475;0.65;0.542
Manisa;Yunusemre;0.944;0.422;0.528;0.573;0.332;0.125;0.3;0.539
Bursa;Yildirim;0.593;0.56;0.556;0.505;0.553;0.363;0.675;0.538
Ýstanbul;Bahçelievler;0.796;0.24;0.595;0.611;0.497;0.275;0.5;0.538
Antalya;Kepez;0.528;0.602;0.546;0.537;0.578;0.3;0.725;0.536
Ýstanbul;Güngören;0.596;0.463;0.58;0.578;0.52;0.238;0.875;0.535
Ýzmir;Güzelbahçe;0.823;0.37;0.2;0.812;0.246;0.288;0.75;0.534
Ýstanbul;Gaziosmanpaþa;0.741;0.305;0.568;0.503;0.661;0.275;0.538;0.534
Ýzmir;Seferihisar;0.858;0.37;0.34;0.642;0.45;0.35;0.175;0.534
Kayseri;Melikgazi;0.73;0.33;0.536;0.572;0.695;0.125;0.475;0.533
Ýzmir;Buca;0.756;0.423;0.374;0.618;0.548;0.163;0.55;0.528
Ýstanbul;Büyükçekmece;0.61;0.27;0.569;0.644;0.66;0.225;0.525;0.525
Kocaeli;Gebze;0.765;0.282;0.569;0.552;0.652;0.175;0.225;0.523
Kayseri;Talas;0.766;0.3;0.487;0.691;0.318;0.238;0.55;0.521
Ankara;Etimesgut;0.597;0.28;0.509;0.793;0.516;0.125;0.575;0.521
Ýzmir;Menemen;0.587;0.533;0.551;0.566;0.486;0.15;0.75;0.519
Mersin;Yeniþehir;0.704;0.29;0.544;0.691;0.499;0.175;0.175;0.516
Denizli;Pamukkale;0.707;0.333;0.563;0.62;0.521;0.163;0.313;0.515
Konya;Selçuklu;0.729;0.055;0.534;0.619;0.603;0.375;0.475;0.514
Denizli;Merkezefendi;0.681;0.238;0.566;0.663;0.558;0.225;0.125;0.51
